Expert	Param	Dist	Lo	Up	A	B
1	Pop	Beta	60	70	2.74	2.09
2	Pop	Gamma	63.5	65.5	17100	0.003787879
3	Pop	Gamma	60	69	778	0.084745763
4	Pop	Lognorm	65	74	4.24	0.0425
5	Pop	Norm	64	72	67.2	2.2
6	Pop	Norm	45	75	62.8	8.05
7	Pop	Lognorm	66	76	4.25	0.0317
8	Pop	Beta	62.3	70	1.23	2.04
9	Pop	Norm	62.3	77	70	2.92
10	Pop	Gamma	62.3	85	196	0.37037037
11	Pop	Beta	62	70	1.92	1.42
12	Pop	Beta	65	75	1.56	1.57
13	Pop	Beta	55	80	1.37	1.18
14	Pop	Lognorm	70	80	4.3	0.0429
15	Pop	Lognorm	0	85	4.23	0.0553
17	Pop	Beta	60	100	0.892	1.92
18	Pop	Gamma	55	93	52.7	1.338688086
19	Pop	Lognorm	60	75	4.19	0.0528
20	Pop	Beta	60	78	2.07	1.39
21	Pop	Norm	0	90	70.1	7.32
22	Pop	Beta	62	75	1.24	0.997
23	Pop	Lognorm	62.3	70	4.18	0.0308
24	Pop	Normal	65	73	69	1.51
25	Pop	Gamma	64	75	989	0.068493151
1	GDP	Norm	1.4	1.9	1.65	0.144
2	GDP	Norm	1.25	2.25	1.75	0.31
3	GDP	Norm	1.2	3.2	2.31	0.556
4	GDP	Beta	-0.5	3.5	3.61	4.43
5	GDP	Norm	0.85	3.2	2.02	0.643
6	GDP	Norm	-1	3	1	1.08
7	GDP	Norm	0.8	2.5	1.6	0.295
8	GDP	Beta	0.3	3	3.09	1.73
9	GDP	Norm	0.5	3.5	2	0.71
10	GDP	Norm	0.5	3.25	1.99	0.693
11	GDP	Beta	1	3.5	1.36	2.01
12	GDP	Norm	0.6	3.5	2	0.709
13	GDP	Norm	1	3.5	2.18	0.562
14	GDP	Norm	1.75	2.75	2.25	0.271
15	GDP	Beta	-3	4	7.19	3.12
17	GDP	Beta	0.5	4	1.22	1.33
18	GDP	Beta	0	4	3.76	3.76
19	GDP	Norm	1.5	3	2.1	0.288
